%Type ZVL-6 
%Version 3.20 
%Date 14.Aug 24 
%Mode ANALYZER 
%Center Freq 102500000.000000 Hz
%Freq Offset 0.000000 Hz
%Span 195000000.000000 Hz
%x-Axis LIN 
%Start 5000000.000000 Hz
%Stop 200000000.000000 Hz
%Ref Level 0.000000 dBm
%Level Offset 0.000000 dB
%Ref Position 100.000000 %
%y-Axis LOG 
%Level Range 100.000000 dB
%Rf Att 30.000000 dB
%RBW 100000.000000 Hz
%VBW 300000.000000 Hz
%SWT 0.050000 s
%Trace Mode AVERAGE 
%Detector SAMPLE 
%Sweep Count 0 
%Trace 1:  
%x-Unit Hz 
%y-Unit dBm 
%Preamplifier ON 
%Transducer OFF 
%Values 5001 
16388000 -75.805610656738281 
16427000 -76.789840698242188 
16466000 -75.320823669433594 
16505000 -76.034934997558594 
16544000 -75.440475463867188 
16583000 -76.615653991699219 
16622000 -76.50244140625 
16661000 -76.011993408203125 
16700000 -75.962982177734375 
16739000 -76.162269592285156 
16778000 -75.641326904296875 
16817000 -75.59161376953125 
16856000 -76.016731262207031 
16895000 -75.74407958984375 
16934000 -76.555046081542969 
16973000 -76.567436218261719 
17012000 -76.090484619140625 
17051000 -76.424591064453125 
17090000 -76.282012939453125 
17129000 -76.29229736328125 
17168000 -76.229316711425781 
17207000 -75.696517944335938 
17246000 -76.540000915527344 
17285000 -76.2347412109375 
17324000 -76.093284606933594 
17363000 -75.948570251464844 
17402000 -76.075103759765625 
17441000 -76.212814331054687 
17480000 -76.7655029296875 
17519000 -75.560859680175781 
17558000 -74.723823547363281 
17597000 -74.730972290039062 
17636000 -75.4281005859375 
17675000 -75.387290954589844 
17714000 -76.648872375488281 
17753000 -76.3843994140625 
17792000 -74.960258483886719 
17831000 -76.528160095214844 
17870000 -76.3934326171875 
17909000 -75.025459289550781 
17948000 -73.383697509765625 
17987000 -74.329025268554688 
18026000 -75.12628173828125 
18065000 -75.804161071777344 
18104000 -75.768966674804687 
18143000 -75.781883239746094 
18182000 -75.404396057128906 
18221000 -75.03271484375 
18260000 -75.175483703613281 
18299000 -75.6427001953125 
18338000 -75.880477905273438 
18377000 -75.203750610351563 
18416000 -75.933494567871094 
18455000 -76.131362915039063 
18494000 -75.430274963378906 
18533000 -74.977745056152344 
18572000 -76.449676513671875 
18611000 -75.198402404785156 
18650000 -75.989120483398438 
18689000 -74.983757019042969 
18728000 -75.930595397949219 
18767000 -75.3616943359375 
18806000 -75.422943115234375 
18845000 -75.960174560546875 
18884000 -75.079544067382812 
18923000 -74.760414123535156 
18962000 -74.535903930664063 
19001000 -74.541213989257813 
19040000 -74.299430847167969 
19079000 -75.1466064453125 
19118000 -74.631217956542969 
19157000 -74.206085205078125 
19196000 -75.906112670898437 
19235000 -75.379676818847656 
19274000 -74.867645263671875 
19313000 -74.679313659667969 
19352000 -74.878875732421875 
19391000 -75.279571533203125 
19430000 -75.293510437011719 
19469000 -75.216911315917969 
19508000 -75.145591735839844 
19547000 -74.755767822265625 
19586000 -74.431083679199219 
19625000 -73.528900146484375 
19664000 -74.641319274902344 
19703000 -74.362106323242187 
19742000 -73.575515747070312 
19781000 -74.316757202148438 
19820000 -74.267173767089844 
19859000 -74.339385986328125 
19898000 -73.598426818847656 
19937000 -73.096023559570313 
19976000 -73.749908447265625 
20015000 -73.5870361328125 
20054000 -74.07781982421875 
20093000 -73.397392272949219 
20132000 -73.414443969726563 
20171000 -73.724136352539063 
20210000 -73.383407592773438 
20249000 -73.466522216796875 
20288000 -73.272010803222656 
20327000 -73.230415344238281 
20366000 -73.680145263671875 
20405000 -72.907676696777344 
20444000 -73.777870178222656 
20483000 -71.612342834472656 
20522000 -73.522850036621094 
20561000 -72.246742248535156 
20600000 -72.2635498046875 
20639000 -72.720718383789063 
20678000 -72.761932373046875 
20717000 -72.099166870117188 
20756000 -72.084709167480469 
20795000 -71.977996826171875 
20834000 -72.151046752929688 
20873000 -71.348678588867187 
20912000 -71.209983825683594 
20951000 -72.379585266113281 
20990000 -72.438026428222656 
21029000 -71.480400085449219 
21068000 -70.7060546875 
21107000 -71.837799072265625 
21146000 -71.165008544921875 
21185000 -71.7860107421875 
21224000 -72.298271179199219 
21263000 -71.547462463378906 
21302000 -71.567237854003906 
21341000 -70.848846435546875 
21380000 -71.440086364746094 
21419000 -71.3758544921875 
21458000 -71.339012145996094 
21497000 -70.88323974609375 
21536000 -70.884513854980469 
21575000 -71.042304992675781 
21614000 -72.562538146972656 
21653000 -71.5283203125 
21692000 -70.886604309082031 
21731000 -70.668472290039063 
21770000 -71.8787841796875 
21809000 -70.592201232910156 
21848000 -71.158538818359375 
21887000 -71.143218994140625 
21926000 -70.955513000488281 
